word,mean_attr,count
young,0.05425755213946104,8
V,0.05413135187700391,4
freedom,0.053882334215034335,7
sorrow,0.05375104653649032,16
admiration,0.053542473912239076,5
principle,0.05349616458018621,3
innocence,0.05322983803657385,13
hand,0.05271811271086335,4
single,0.052605713019147515,4
he,0.05258395783603191,5
terror,0.0522574697000285,3
principles,0.05144872436566012,7
itself,0.051395061115423836,3
happiness,0.05115558998659253,20
companions,0.050868261605501175,4
state,0.05082419307048743,12
disposition,0.05070466575596262,17
solemn,0.05055205710232258,4
ingrained,0.05046569760888815,20
individual,0.05023853952685992,15
observed,0.05003371217753738,16
attachment,0.049806078895926476,4
itude,0.04979252334063252,3
propensity,0.04967680177651346,8
Wealth,0.04965176545083523,5
may,0.04947224026545882,44
warmth,0.04925619733209411,6
both,0.0492289304966107,8
inheritance,0.04892864419768254,12
degree,0.048765546176582575,4
way,0.04829100202769041,5
poised,0.04802806551257769,3
birth,0.047810237109661105,5
ies,0.04773401406904062,6
st,0.047708497914884775,7
nature,0.04760325731088718,18
exists,0.04758052229881286,5
souls,0.04746560985222459,4
once,0.04731396740923325,6
disappointment,0.04712558339039485,15
our,0.04705654575251216,43
each,0.04699689568951726,4
accompanied,0.04687521990854293,4
anguish,0.046764668077230453,4
devotion,0.04670642555824348,7
mundane,0.046636427442232765,6
generous,0.046597788110375404,4
realities,0.04643075205385685,5
child,0.04634113826614339,16
without,0.046306157381170325,18
tumultuous,0.04628816371162733,3
unt,0.04623566195368767,8
dread,0.04621199797838926,5
genuine,0.046102626156061886,10
spirit,0.04582849107682705,15
ant,0.0457606241106987,3
sentiments,0.045628375140950084,4
desire,0.04546496346592903,15
reflection,0.04534135262171427,3
grand,0.04495833681098053,7
mysterious,0.04440006501972675,5
ardent,0.044263578234956816,13
ful,0.04420339595526457,4
noble,0.04401566932210699,4
often,0.04400767368646578,39
era,0.043998926439706015,17
attendant,0.043857829024394356,3
cap,0.043810729653789446,13
paradox,0.04366695845965296,8
themselves,0.0432990319095552,4
understanding,0.04327121190726757,3
sometimes,0.04304969124495983,4
being,0.042879540315498746,31
ties,0.042870475289722286,6
res,0.042729133553802964,5
testament,0.04266264817366997,3
inevitably,0.04188807727769017,4
ability,0.041367637614409127,3
consideration,0.041299584011236824,3
gestures,0.04125556691239277,3
usive,0.04124990198761225,3
uncommon,0.04113447517156601,5
on,0.04104064098608337,19
world,0.041008309389536195,13
these,0.040840248887737594,12
kindness,0.04077222610920154,29
parental,0.04074979946017265,3
to,0.04071816510480383,184
which,0.04071144495159387,25
necessarily,0.040420882985927165,4
Thus,0.040359899401664734,4
for,0.04029964183878508,84
curious,0.04023760570479291,7
experience,0.04023150677482287,15
notion,0.04004946510706629,7
promise,0.04000165561834971,3
own,0.03990835067816079,14
zeal,0.03984031453728676,3
ion,0.03983112587593496,4
benevolent,0.03981346996234996,7
felt,0.0398003322382768,3
ment,0.03971622954122722,8
very,0.03967402770649642,12
family,0.039297056187374085,13
Kind,0.039242072496563196,4
when,0.039228814387960095,7
former,0.03897106280783191,4
human,0.038885422327941094,58
peculiar,0.03870482898006836,3
navigate,0.03858268028125167,4
exclusive,0.03853761746237675,3
substantial,0.03852169821038842,4
what,0.0384737603366375,5
other,0.038456604682973454,7
darkness,0.03837919173141321,3
guidance,0.038367144763469696,3
if,0.038307743767897286,3
able,0.038170940894633534,10
essence,0.03808750677853823,4
impressions,0.03792070255925258,6
power,0.03770909318700433,4
possession,0.03758201187786957,15
ings,0.037511471193283796,4
bind,0.037440451327711344,4
ferv,0.03735879575833678,8
quality,0.03718986548483372,3
there,0.037150954362004995,4
institutions,0.037041351509590946,3
mere,0.037003859505057336,5
dance,0.036883181892335415,6
virtues,0.03684611339122057,4
ated,0.03635838418267667,4
ments,0.03601128347218037,5
ithering,0.03600069135427475,3
ence,0.035981042274775416,13
must,0.035756395872388234,38
society,0.035739270292899826,11
deeply,0.03564700883669922,26
profound,0.03555653278123249,22
most,0.035417665735751926,56
Amid,0.03540599942207336,5
truly,0.035280107387474606,7
trans,0.03526682841281096,3
or,0.03525801070419879,29
person,0.03442660969142851,38
joy,0.034328864712733775,8
am,0.03428811009507626,4
means,0.034249374410137534,8
individuals,0.034203522450601063,12
even,0.03395399150692604,33
virtuous,0.0338501188904047,5
endowed,0.03374940839906534,9
wealth,0.03371472569415346,8
suff,0.03370285271666944,5
separation,0.03344650347051876,7
prestige,0.033387514122296125,4
less,0.03315975366988116,9
ure,0.03304198035039008,4
beauty,0.03300268420328697,3
sense,0.03291749148903524,17
can,0.032796422780777976,39
fragile,0.0325617466296535,8
